union,performance ,framing,id ,group,round,trial,overextraction,observer,overext_observed,report,punished,round_profit
1,1,1,3210,1,11,0,40,-1,-1,0,0,820
1,1,1,321,2,12,0,50,-1,-1,0,0,1110
1,1,1,642,1,12,0,40,-1,-1,0,0,850
1,1,1,963,2,12,0,50,-1,-1,0,0,1110
1,1,1,1284,1,12,0,20,-1,-1,0,0,550
1,1,1,1605,1,12,0,0,-1,-1,0,0,250
1,1,1,1926,2,12,0,0,-1,-1,0,0,360
1,1,1,2247,2,12,0,2,-1,-1,0,0,390
1,1,1,2568,2,12,0,25,-1,-1,0,0,740
1,1,1,2889,1,12,0,45,-1,-1,0,0,920
1,1,1,3210,1,12,0,45,-1,-1,0,0,920
1,1,1,321,2,13,0,50,-1,-1,0,0,1110
1,1,1,642,1,13,0,40,-1,-1,0,0,930
1,1,1,963,2,13,0,50,-1,-1,0,0,1110
1,1,1,1284,1,13,0,5,-1,-1,0,0,410
1,1,1,1605,1,13,0,0,-1,-1,0,0,330
1,1,1,1926,2,13,0,0,-1,-1,0,0,360
1,1,1,2247,2,13,0,3,-1,-1,0,0,400
1,1,1,2568,2,13,0,25,-1,-1,0,0,730
1,1,1,2889,1,13,0,48,-1,-1,0,0,1050
1,1,1,3210,1,13,0,40,-1,-1,0,0,930
1,1,1,321,2,14,1,0,1,0,0,0,0
1,1,1,642,1,14,1,15,1,45,0,0,0
1,1,1,963,2,14,1,50,0,-1,0,1,0
1,1,1,1284,1,14,1,0,0,-1,0,0,0
1,1,1,1605,1,14,1,0,-1,-1,0,0,0
1,1,1,1926,2,14,1,0,0,-1,0,0,0
1,1,1,2247,2,14,1,2,-1,-1,0,0,0
1,1,1,2568,2,14,1,0,1,50,1,0,0
1,1,1,2889,1,14,1,45,0,-1,0,0,0
1,1,1,3210,1,14,1,40,1,0,0,0,0
1,1,1,321,2,15,1,40,0,-1,0,1,0
1,1,1,642,1,15,1,25,0,-1,0,1,0
1,1,1,963,2,15,1,50,0,-1,0,0,0
1,1,1,1284,1,15,1,0,1,25,1,0,0
1,1,1,1605,1,15,1,0,-1,-1,0,0,0
1,1,1,1926,2,15,1,0,1,50,0,0,0
1,1,1,2247,2,15,1,3,1,40,1,0,0
1,1,1,2568,2,15,1,12,-1,-1,0,0,0
1,1,1,2889,1,15,1,25,0,-1,0,0,0
1,1,1,3210,1,15,1,40,1,25,0,0,0
1,1,1,321,2,16,1,0,-1,-1,0,0,0
1,1,1,642,1,16,1,40,0,-1,0,1,0
1,1,1,963,2,16,1,50,1,3,1,0,0
1,1,1,1284,1,16,1,0,0,-1,0,0,0
1,1,1,1605,1,16,1,0,1,0,0,0,0
1,1,1,1926,2,16,1,0,1,12,0,0,0
1,1,1,2247,2,16,1,3,0,-1,0,1,0
1,1,1,2568,2,16,1,12,0,-1,0,0,0
1,1,1,2889,1,16,1,48,1,40,1,0,0
1,1,1,3210,1,16,1,40,-1,-1,0,0,0
1,1,1,321,2,17,0,25,0,-1,0,1,0
1,1,1,642,1,17,0,30,-1,-1,0,0,950
1,1,1,963,2,17,0,50,1,3,0,0,1610
1,1,1,1284,1,17,0,5,1,0,0,0,570
1,1,1,1605,1,17,0,0,0,-1,0,0,500
1,1,1,1926,2,17,0,0,-1,-1,0,0,610
1,1,1,2247,2,17,0,3,0,-1,0,0,650
1,1,1,2568,2,17,0,0,1,25,1,0,610
1,1,1,2889,1,17,0,25,1,40,1,0,870
1,1,1,3210,1,17,0,40,0,-1,0,1,0
1,1,1,321,2,18,0,0,1,0,0,0,740
1,1,1,642,1,18,0,35,1,0,0,0,1100
1,1,1,963,2,18,0,50,1,0,0,0,1490
1,1,1,1284,1,18,0,5,-1,-1,0,0,650
1,1,1,1605,1,18,0,0,0,-1,0,0,570
1,1,1,1926,2,18,0,0,0,-1,0,0,740
1,1,1,2247,2,18,0,2,-1,-1,0,0,770
1,1,1,2568,2,18,0,0,0,-1,0,0,740
1,1,1,2889,1,18,0,45,0,-1,0,1,0
1,1,1,3210,1,18,0,0,1,45,1,0,570
1,1,1,321,2,19,0,30,-1,-1,0,0,1030
1,1,1,642,1,19,0,35,1,0,0,0,1080
1,1,1,963,2,19,0,50,0,-1,0,1,0
1,1,1,1284,1,19,0,5,0,-1,0,1,0
1,1,1,1605,1,19,0,0,0,-1,0,0,560
1,1,1,1926,2,19,0,0,0,-1,0,0,580
1,1,1,2247,2,19,0,3,1,50,1,0,630
1,1,1,2568,2,19,0,0,1,0,0,0,580
1,1,1,2889,1,19,0,48,1,5,1,0,1280
1,1,1,3210,1,19,0,0,-1,-1,0,0,560
1,1,1,321,2,20,0,40,-1,-1,0,0,1140
1,1,1,642,1,20,0,35,0,-1,0,0,1090
1,1,1,963,2,20,0,50,1,0,0,0,1290
1,1,1,1284,1,20,0,5,-1,-1,0,0,640
1,1,1,1605,1,20,0,0,1,35,0,0,820
1,1,1,1926,2,20,0,0,0,-1,0,0,540
1,1,1,2247,2,20,0,2,1,0,0,0,570
1,1,1,2568,2,20,0,0,0,-1,0,0,540
1,1,1,2889,1,20,0,46,0,-1,0,0,1260
1,1,1,3210,1,20,0,0,1,46,0,0,820
1,1,1,321,2,21,0,40,0,-1,0,1,0
1,1,1,642,1,21,0,35,0,-1,0,1,0
1,1,1,963,2,21,0,50,1,0,0,0,1280
1,1,1,1284,1,21,0,0,1,0,0,0,590
1,1,1,1605,1,21,0,0,-1,-1,0,0,590
1,1,1,1926,2,21,0,0,0,-1,0,0,530
1,1,1,2247,2,21,0,3,1,40,1,0,580
1,1,1,2568,2,21,0,0,-1,-1,0,0,530
1,1,1,2889,1,21,0,46,1,35,1,0,1280
1,1,1,3210,1,21,0,0,0,-1,0,0,590
1,1,1,321,2,22,0,30,1,3,1,0,1030
1,1,1,642,1,22,0,35,0,-1,0,0,1130
1,1,1,963,2,22,0,50,1,0,0,0,1330
1,1,1,1284,1,22,0,0,-1,-1,0,0,610
1,1,1,1605,1,22,0,0,1,35,0,0,860
1,1,1,1926,2,22,0,0,-1,-1,0,0,580
1,1,1,2247,2,22,0,3,0,-1,0,1,0
1,1,1,2568,2,22,0,0,0,-1,0,0,580
1,1,1,2889,1,22,0,43,0,-1,0,1,0
1,1,1,3210,1,22,0,0,1,43,1,0,610
1,1,1,321,2,23,0,30,-1,-1,0,0,1040
1,1,1,642,1,23,0,35,-1,-1,0,0,1120
1,1,1,963,2,23,0,50,1,2,0,0,1590
1,1,1,1284,1,23,0,5,0,-1,0,1,0
1,1,1,1605,1,23,0,0,1,41,0,0,840
1,1,1,1926,2,23,0,0,0,-1,0,0,590
1,1,1,2247,2,23,0,2,0,-1,0,0,620
1,1,1,2568,2,23,0,0,1,0,0,0,590
1,1,1,2889,1,23,0,41,0,-1,0,0,1210
1,1,1,3210,1,23,0,0,1,5,1,0,590
1,1,1,321,2,24,0,25,1,0,0,0,980
1,1,1,642,1,24,0,50,1,35,1,0,1070
1,1,1,963,2,24,0,50,1,0,0,0,1360
1,1,1,1284,1,24,0,50,-1,-1,0,0,1070
1,1,1,1605,1,24,0,0,1,0,0,0,320
1,1,1,1926,2,24,0,0,0,-1,0,0,610
