"union","performance","framing","id","group_id","round","overextraction","observer","overext_observed","report","punished","round_profit"
1,1,1,"160511","111",11,0,0,NA,NA,0,500
1,1,1,"192611","121",11,0,-1,NA,NA,NA,610
1,1,1,"224711","121",11,3,0,NA,NA,0,650
1,1,1,"256811","121",11,0,1,25,1,NA,610
1,1,1,"288911","111",11,25,1,40,1,NA,870
1,1,1,"321011","111",11,40,0,NA,NA,1,0
1,1,1,"32111","121",12,0,1,0,0,NA,740
1,1,1,"64211","111",12,35,1,0,0,NA,1100
1,1,1,"96311","121",12,50,1,0,0,NA,1490
1,1,1,"128411","111",12,5,-1,NA,NA,NA,650
1,1,1,"160511","111",12,0,0,NA,NA,0,570
1,1,1,"192611","121",12,0,0,NA,NA,0,740
1,1,1,"224711","121",12,2,-1,NA,NA,NA,770
1,1,1,"256811","121",12,0,0,NA,NA,0,740
1,1,1,"288911","111",12,45,0,NA,NA,1,0
1,1,1,"321011","111",12,0,1,45,1,NA,570
1,1,1,"32111","121",13,30,-1,NA,NA,NA,1030
1,1,1,"64211","111",13,35,1,0,0,NA,1080
1,1,1,"96311","121",13,50,0,NA,NA,1,0
1,1,1,"128411","111",13,5,0,NA,NA,1,0
1,1,1,"160511","111",13,0,0,NA,NA,0,560
1,1,1,"192611","121",13,0,0,NA,NA,0,580
1,1,1,"224711","121",13,3,1,50,1,NA,630
1,1,1,"256811","121",13,0,1,0,0,NA,580
1,1,1,"288911","111",13,48,1,5,1,NA,1280
1,1,1,"321011","111",13,0,-1,NA,NA,NA,560
1,1,1,"32111","121",14,40,-1,NA,NA,NA,1140
1,1,1,"64211","111",14,35,0,NA,NA,0,1090
1,1,1,"96311","121",14,50,1,0,0,NA,1290
1,1,1,"128411","111",14,5,-1,NA,NA,NA,640
1,1,1,"160511","111",14,0,1,35,0,NA,820
1,1,1,"192611","121",14,0,0,NA,NA,0,540
1,1,1,"224711","121",14,2,1,0,0,NA,570
1,1,1,"256811","121",14,0,0,NA,NA,0,540
1,1,1,"288911","111",14,46,0,NA,NA,0,1260
1,1,1,"321011","111",14,0,1,46,0,NA,820
1,1,1,"32111","121",15,40,0,NA,NA,1,0
1,1,1,"64211","111",15,35,0,NA,NA,1,0
1,1,1,"96311","121",15,50,1,0,0,NA,1280
1,1,1,"128411","111",15,0,1,0,0,NA,590
1,1,1,"160511","111",15,0,-1,NA,NA,NA,590
1,1,1,"192611","121",15,0,0,NA,NA,0,530
1,1,1,"224711","121",15,3,1,40,1,NA,580
1,1,1,"256811","121",15,0,-1,NA,NA,NA,530
1,1,1,"288911","111",15,46,1,35,1,NA,1280
1,1,1,"321011","111",15,0,0,NA,NA,0,590
1,1,1,"32111","121",16,30,1,3,1,NA,1030
1,1,1,"64211","111",16,35,0,NA,NA,0,1130
1,1,1,"96311","121",16,50,1,0,0,NA,1330
1,1,1,"128411","111",16,0,-1,NA,NA,NA,610
1,1,1,"160511","111",16,0,1,35,0,NA,860
1,1,1,"192611","121",16,0,-1,NA,NA,NA,580
1,1,1,"224711","121",16,3,0,NA,NA,1,0
1,1,1,"256811","121",16,0,0,NA,NA,0,580
1,1,1,"288911","111",16,43,0,NA,NA,1,0
1,1,1,"321011","111",16,0,1,43,1,NA,610
1,1,1,"32111","121",17,30,-1,NA,NA,NA,1040
1,1,1,"64211","111",17,35,-1,NA,NA,NA,1120
1,1,1,"96311","121",17,50,1,2,0,NA,1590
1,1,1,"128411","111",17,5,0,NA,NA,1,0
1,1,1,"160511","111",17,0,1,41,0,NA,840
1,1,1,"192611","121",17,0,0,NA,NA,0,590
1,1,1,"224711","121",17,2,0,NA,NA,0,620
1,1,1,"256811","121",17,0,1,0,0,NA,590
1,1,1,"288911","111",17,41,0,NA,NA,0,1210
1,1,1,"321011","111",17,0,1,5,1,NA,590
1,1,1,"32111","121",18,25,1,0,0,NA,980
1,1,1,"64211","111",18,50,1,35,1,NA,1070
1,1,1,"96311","121",18,50,1,0,0,NA,1360
1,1,1,"128411","111",18,50,-1,NA,NA,NA,1070
1,1,1,"160511","111",18,0,1,0,0,NA,320
1,1,1,"192611","121",18,0,0,NA,NA,0,610
1,1,1,"224711","121",18,3,-1,NA,NA,NA,650
1,1,1,"256811","121",18,0,0,NA,NA,0,610
1,1,1,"288911","111",18,35,0,NA,NA,1,0
1,1,1,"321011","111",18,0,0,NA,NA,0,320
1,1,1,"32111","121",19,40,0,NA,NA,1,0
1,1,1,"64211","111",19,50,0,NA,NA,1,0
1,1,1,"96311","121",19,50,1,0,0,NA,1280
1,1,1,"128411","111",19,5,0,NA,NA,1,0
1,1,1,"160511","111",19,0,-1,NA,NA,NA,520
1,1,1,"192611","121",19,0,0,NA,NA,0,530
1,1,1,"224711","121",19,3,1,40,1,NA,580
1,1,1,"256811","121",19,0,-1,NA,NA,NA,530
1,1,1,"288911","111",19,41,1,50,1,NA,1130
1,1,1,"321011","111",19,0,1,5,1,NA,520
1,1,1,"32111","121",20,30,1,0,0,NA,1030
1,1,1,"64211","111",20,50,1,0,0,NA,1410
1,1,1,"96311","121",20,50,1,3,0,NA,1580
1,1,1,"128411","111",20,5,0,NA,NA,0,740
1,1,1,"160511","111",20,0,1,5,0,NA,910
1,1,1,"192611","121",20,0,-1,NA,NA,NA,580
1,1,1,"224711","121",20,3,0,NA,NA,0,630
1,1,1,"256811","121",20,0,0,NA,NA,0,580
1,1,1,"288911","111",20,12,-1,NA,NA,NA,840
1,1,1,"321011","111",20,0,0,NA,NA,0,660
1,1,2,"32112","112",1,50,NA,NA,NA,NA,620
1,1,2,"64212","122",1,0,NA,NA,NA,NA,590
1,1,2,"96312","122",1,5,NA,NA,NA,NA,670
1,1,2,"128412","122",1,50,NA,NA,NA,NA,1340
1,1,2,"160512","112",1,45,NA,NA,NA,NA,550
1,1,2,"192612","122",1,25,NA,NA,NA,NA,970
1,1,2,"224712","122",1,1,NA,NA,NA,NA,610
1,1,2,"256812","112",1,50,NA,NA,NA,NA,620
1,1,2,"288912","112",1,40,NA,NA,NA,NA,470
1,1,2,"321012","112",1,40,NA,NA,NA,NA,470
1,1,2,"32112","112",2,50,NA,NA,NA,NA,900
1,1,2,"64212","122",2,0,NA,NA,NA,NA,710
1,1,2,"96312","122",2,5,NA,NA,NA,NA,780
1,1,2,"128412","122",2,50,NA,NA,NA,NA,1460
1,1,2,"160512","112",2,40,NA,NA,NA,NA,750
1,1,2,"192612","122",2,1,NA,NA,NA,NA,720
1,1,2,"224712","122",2,2,NA,NA,NA,NA,740
1,1,2,"256812","112",2,40,NA,NA,NA,NA,750
1,1,2,"288912","112",2,10,NA,NA,NA,NA,300
1,1,2,"321012","112",2,30,NA,NA,NA,NA,600
1,1,2,"32112","112",3,50,NA,NA,NA,NA,800
1,1,2,"64212","122",3,0,NA,NA,NA,NA,520
1,1,2,"96312","122",3,5,NA,NA,NA,NA,590
1,1,2,"128412","122",3,50,NA,NA,NA,NA,1270
1,1,2,"160512","112",3,40,NA,NA,NA,NA,650
1,1,2,"192612","122",3,25,NA,NA,NA,NA,890
1,1,2,"224712","122",3,16,NA,NA,NA,NA,760
1,1,2,"256812","112",3,30,NA,NA,NA,NA,500
1,1,2,"288912","112",3,50,NA,NA,NA,NA,800
1,1,2,"321012","112",3,20,NA,NA,NA,NA,350
1,1,2,"32112","112",4,50,NA,NA,NA,NA,720
1,1,2,"64212","122",4,0,NA,NA,NA,NA,540
1,1,2,"96312","122",4,5,NA,NA,NA,NA,610
1,1,2,"128412","122",4,50,NA,NA,NA,NA,1290
1,1,2,"160512","112",4,35,NA,NA,NA,NA,500
1,1,2,"192612","122",4,25,NA,NA,NA,NA,910
1,1,2,"224712","122",4,12,NA,NA,NA,NA,720
1,1,2,"256812","112",4,30,NA,NA,NA,NA,420
1,1,2,"288912","112",4,50,NA,NA,NA,NA,720
